crime_id,date,polygon_id,shift_id,treated,boundary_id,boundary_distance,running_var,treated_polygon_id,control_polygon_id,x_magna_m,y_magna_m,is_duplicate_record,in_estimation_sample,within_distance_screen,treated_side,abs_distance_m,log_distance_m,distance_km
SUR-00746024-24,2024-04-27,1,8,1,1_10,613.9098198674765,-613.9098198674765,1,10,1006038.0803943428,1011809.0790704928,0,1,1,treated,613.9098198674765,6.421475622692822,-0.6139098198674765
SUR-00745990-24,2024-04-27,1,8,1,1_10,642.8266175063969,-642.8266175063969,1,10,1006066.086152234,1011845.7877765445,0,1,1,treated,642.8266175063969,6.467429462381592,-0.6428266175063969
SUR-00656675-24,2024-04-13,1,8,0,1_10,524.4088849145661,524.4088849145661,10,1,1005949.9118444108,1011879.9330652608,0,1,1,control,524.4088849145661,6.2641767878708565,0.524408884914566
SUR-00705139-24,2024-04-20,1,8,0,1_8,868.8765011845641,868.8765011845641,8,1,1006106.0650788348,1011843.0230527838,0,0,1,control,868.8765011845641,6.768351248910976,0.868876501184564
SUR-00825837-24,2024-05-08,1,8,0,1_8,787.2525110207811,787.2525110207811,8,1,1005982.1875931424,1011864.0294643434,0,0,1,control,787.2525110207811,6.669818483984043,0.7872525110207811
SUR-00988396-24,2024-06-02,1,8,1,1_10,514.0395988220963,-514.0395988220963,1,10,1005937.7150918896,1011811.8657208572,0,1,1,treated,514.0395988220963,6.244243788624473,-0.5140395988220963
SUR-01913684-24,2024-10-19,1,8,0,1_10,686.6164218919721,686.6164218919721,10,1,1006110.1253983016,1011847.4344804058,0,1,1,control,686.6164218919721,6.533231156137947,0.6866164218919721
SUR-00638315-24,2024-04-11,1,8,0,1_8,536.6220216388786,536.6220216388786,8,1,1005684.5214771648,1011794.4511227744,0,0,1,control,536.6220216388786,6.287155751239922,0.5366220216388785
SUR-00644135-25,2025-04-10,1,8,1,1_10,108.85450083158186,-108.85450083158186,1,10,1005531.3422203813,1011855.7333141018,0,1,1,treated,108.85450083158186,4.699156770513634,-0.1088545008315818
SUR-00929962-24,2024-05-24,1,8,1,1_10,368.3771376600855,-368.3771376600855,1,10,1005810.0464197546,1012086.0823026546,0,1,1,treated,368.3771376600855,5.911818175379043,-0.3683771376600855
SUR-01687164-24,2024-09-15,1,8,0,1_10,381.1504644333361,381.1504644333361,10,1,1005819.4094081272,1012054.0739989912,0,1,1,control,381.1504644333361,5.94581441700501,0.381150464433336
SUR-00127289-25,2025-01-23,1,8,0,1_10,349.149893050958,349.149893050958,10,1,1005789.1497215783,1012544.391436594,0,1,1,control,349.149893050958,5.85836132866369,0.349149893050958
SUR-00336683-25,2025-02-24,1,8,1,1_10,402.73489231830274,-402.73489231830274,1,10,1005842.050455792,1012067.2360419012,0,1,1,treated,402.73489231830274,6.0007584554301,-0.4027348923183027
