boundary_id,h_mserd,b_mserd,tau_rdrobust,se_rdrobust,n_eff_rdrobust
10_13,358.0784119733223,561.3718440304644,-0.032571059250011754,0.04742017937987665,980
11_12,480.8596857254558,713.0397450072081,0.017355121302863596,0.05645465787987433,1340
1_10,590.0976621902943,890.5130584643904,0.10878376137184098,0.0906410980645937,1680
1_13,530.4104883306612,777.5617806917725,0.13515325453668467,0.06956525397272727,1518
2_8,645.634124823536,991.2905104903595,0.014086390729730724,0.133907986737051,1846
3_11,334.5262385064712,595.1011699761675,-0.22793911049323604,0.1219080834240822,994
3_12,493.68346705280754,780.0449712556259,-0.022296103509133067,0.050069911657238605,1380
5_10,634.7844599775876,954.4120670135077,0.043898681661391714,0.10543606689159844,1820
5_9,395.1882724806253,651.0495846749632,-0.061982976570295084,0.08923157415662411,1120
8_10,443.3755152800009,730.4007248242742,-0.05363058485927219,0.07976849956296005,1296
8_11,443.9145920891697,829.6371649441159,-0.21930898077652142,0.11023076934816012,1296
8_12,797.2359736007035,1136.9375925959225,0.06069812656452739,0.06821789938098723,2240
8_9,403.7889392014546,671.7516140487476,0.016604978867935924,0.053139811264657465,1136
9_10,398.87516486367946,793.4501349136085,0.00023592927846791296,0.013015720336133298,1088
9_12,607.0452497916388,921.3423785094578,-0.04996729535027142,0.06852881937196098,1680
