cutoff_shift_m,h_mse,tau,se,pval,ci_low,ci_high,N_left,N_right
-500,601.1441678080174,0.016351566454147815,0.10486211206307959,0.8760850609795445,-0.1891743965322913,0.22187752944058692,2063,2483
-250,501.7280622318177,-0.04393836356944392,0.11672980382915156,0.7066114880711587,-0.27272457499700664,0.18484784785811878,1906,2209
0,481.60706782154244,0.019053185475734313,0.08720537826728669,0.8270501864984083,-0.1518662151863395,0.18997258613780812,1697,2079
250,619.2292838992977,0.013832533827049076,0.07674878772444549,0.8569709864856367,-0.13659232596997387,0.16425739362407202,2335,2789
500,424.277855329235,-0.11610231531162873,0.1357351571674917,0.39235232392249836,-0.3821383347957962,0.1499337041725387,1711,1972
