h,tau,lo,hi
150,0.0015002392280774025,-0.016273414980602842,0.019273893436757644
225,0.0011111760065449696,-0.017247949061628944,0.019470301074718886
300,-6.747642915960188e-4,-0.012707471776293687,0.011357943193101648
375,0.0030876631747351908,-0.012401362289000208,0.01857668863847059
450,0.0034871023680436548,-0.013226846666406633,0.020201051402493942
525,0.0012806510467029972,-0.01564836144247852,0.01820966353588451
600,0.001179851988619252,-0.0156089059956836,0.017968609972922104
675,0.002014084084018105,-0.01454294643815321,0.018571114606189418
750,0.003293256696372502,-0.0125056688541351,0.019092182246880106
825,0.004209589451622343,-0.011065264437638367,0.019484443340883055
900,0.003967480390439322,-0.011306847680217629,0.01924180846109627
975,0.003910067188299964,-0.011476920693754047,0.019297055070353973
1050,0.004927856512021436,-0.010406550125456465,0.020262263149499336
1125,0.005664411038179297,-0.00960770205575778,0.02093652413211637
1200,0.006119045148935188,-0.009012038754313782,0.021250129052184156
1275,0.006780549254288316,-0.008182787065428215,0.021743885574004848
1350,0.0072761297104878666,-0.007590975537185,0.022143234958160733
1425,0.007405275504711776,-0.007327784594151785,0.022138335603575338
1500,0.007183283363709096,-0.007391116109405854,0.021757682836824048
