boundary_id,tau,se,z,pval,ci_lower,ci_upper,bandwidth,n_cells,n_eff,n_eff_left,n_eff_right,n_incidents,n_dates
1_13,-0.13515325453668478,0.05569936180715223,-2.426477613955894,0.015246190885565565,-0.24432400367870316,-0.025982505394666414,530.4104883306612,5520,1518,759,759,406,69
1_10,-0.1087837613718322,0.06939587990380686,-1.5675824202045263,0.11697861746068872,-0.24479968598329366,0.02723216323962925,590.0976621902943,5600,1680,840,840,697,70
8_12,-0.06069812656452902,0.05828209225870682,-1.0414541450416317,0.29766482441592473,-0.17493102739159438,0.053534774262536354,797.2359736007035,5600,2240,1120,1120,867,70
5_10,-0.043898681661380175,0.0865587554749652,-0.5071547230606464,0.612046260880594,-0.21355384239231195,0.12575647906955162,634.7844599775876,5600,1820,910,910,1588,70
11_12,-0.017355121302868218,0.050345569083625794,-0.34471993501634157,0.730304929775343,-0.11603243670677477,0.08132219410103833,480.8596857254558,5360,1340,670,670,336,67
8_9,-0.016604978867934952,0.04658166853786473,-0.3564702465399517,0.7214884303945479,-0.10790504920214983,0.07469509146627992,403.7889392014546,5680,1136,568,568,643,71
2_8,-0.014086390729741266,0.11265254656238133,-0.12504280781563096,0.9004896605370114,-0.23488538199200867,0.20671260053252613,645.634124823536,5680,1846,923,923,2918,71
9_10,-2.3592927846838053e-4,0.009335863063696057,-0.02527128738486192,0.9798385759619845,-0.01853422088331265,0.01806236232637589,398.87516486367946,5440,1088,544,544,407,68
3_12,0.022296103509138448,0.04473694581312963,0.498382334866384,0.6182145853362331,-0.06538831028459563,0.10998051730287253,493.68346705280754,5520,1380,690,690,1487,69
10_13,0.0325710592500117,0.03664917865420797,0.8887254897940794,0.3741506285494133,-0.039261330912235916,0.10440344941225932,358.0784119733223,5600,980,490,490,701,70
9_12,0.0499672953502708,0.05980594576602713,0.8354904300945745,0.40344163295660584,-0.06725235835114238,0.16718694905168396,607.0452497916388,5600,1680,840,840,1189,70
8_10,0.05363058485926884,0.05835566528664117,0.9190296194180482,0.3580800798768616,-0.06074651910254785,0.16800768882108552,443.3755152800009,5760,1296,648,648,742,72
5_9,0.061982976570296736,0.08053754241354835,0.7696159419916656,0.44152774555066476,-0.09587060656025802,0.21983655970085147,395.1882724806253,5600,1120,560,560,2637,70
8_11,0.21930898077652625,0.09622528396935358,2.2791201203040683,0.022659925784348833,0.030707424196593225,0.40791053735645927,443.9145920891697,5760,1296,648,648,1827,72
3_11,0.22793911049323204,0.10450772811962047,2.181074209481723,0.02917792806924001,0.023103963378775905,0.4327742576076882,334.5262385064712,5680,994,497,497,4082,71
