shift_m,half_window_m,tau,se,lo,hi,pval
-750,750,0.00216844939191856,0.007353091127473794,-0.012243609217930076,0.016580508001767195,0.7680679012737067
-500,500,0.010855385698632867,0.013524685353809322,-0.015652997594833407,0.03736376899209914,0.42218573800352593
-250,250,-0.010317456144764005,0.012558813342227767,-0.03493273029553043,0.014297818006002418,0.41134379850918856
0,2000,7.094365661793697e-4,0.00813004233222555,-0.015225446404982709,0.016644319537341447,0.9304639611015575
250,250,-0.030587755287602904,0.015932160997817555,-0.06181479084332531,6.392802681195013e-4,0.05487370874613653
500,500,0.003892723245043534,0.01525825213239421,-0.026013450934449116,0.033798897424536185,0.7986284958905845
750,750,-0.033854558578145386,0.01507266419433705,-0.06339698039904601,-0.004312136757244768,0.02469825114901261
